item;sent_id;source;correct_sentence;sentence_en;correct_form;lemma;mutation_type;trigger_type;specific_trigger
90;28;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.;Mid and West Wales Fire and Rescue Service worked to tackle a fire in the Cwm Elan area of ​​Powys.;thân;tân;AM;L;â
91;28;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.;Mid and West Wales Fire and Rescue Service worked to tackle a fire in the Cwm Elan area of ​​Powys.;Mhowys;Powys;NM;L;ym
92;29;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Gyda phenwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i gymryd y risg hon o ddifrif.;With the bank holiday weekend approaching, we urge everyone to take this risk seriously.;phenwythnos;penwythnos;AM;L;gyda
93;29;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Gyda phenwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i gymryd y risg hon o ddifrif.;With the bank holiday weekend approaching, we urge everyone to take this risk seriously.;gymryd;cymryd;SM;L;i
94;29;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Gyda phenwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i gymryd y risg hon o ddifrif.;With the bank holiday weekend approaching, we urge everyone to take this risk seriously.;ddifrif;difrif;SM;L;o
95;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;He refused to show his hands, was violent and remained a clear threat.;ddangos;dangos;SM;MS;direct_object_mutation
96;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;He refused to show his hands, was violent and remained a clear threat.;ddwylo;dwylo;SM;L;ei
97;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;He refused to show his hands, was violent and remained a clear threat.;dreisgar;treisgar;SM;MS;yn_complement_adj_noun
98;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;He refused to show his hands, was violent and remained a clear threat.;pharhaodd;parhaodd;AM;L;a
99;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;He refused to show his hands, was violent and remained a clear threat.;fod;bod;SM;L;i
100;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;He refused to show his hands, was violent and remained a clear threat.;clir;clir;no_AM;no_mutation;no_mutation
101;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;He refused to show his hands, was violent and remained a clear threat.;fygythiad;mygythiad;SM;MS;yn_complement_adj_noun
102;31;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Rwy'n gwybod bod David a'i gydweithwyr eraill yng Nghynulliad Llundain yn gweithio'n agos gyda Heddlu'r Met.;I know that David and his other colleagues at the London Assembly work closely with the Met Police.;gydweithwyr;cydweithwr;SM;L;i
103;31;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Rwy'n gwybod bod David a'i gydweithwyr eraill yng Nghynulliad Llundain yn gweithio'n agos gyda Heddlu'r Met.;I know that David and his other colleagues at the London Assembly work closely with the Met Police.;Nghynulliad;Cynulliad;NM;L;yng
104;32;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.;In April, Siôn, caretaker of Capel Newydd near Gaiman in Patagonia, died at the age of 92.;Fis;mis;SM;MS;adverb_time_place_manner
105;32;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.;In April, Siôn, caretaker of Capel Newydd near Gaiman in Patagonia, died at the age of 92.;farw;marw;SM;MS;direct_object_mutation
106;32;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.;In April, Siôn, caretaker of Capel Newydd near Gaiman in Patagonia, died at the age of 92.;Mhatagonia;Patagonia;NM;L;ym
107;32;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.;In April, Siôn, caretaker of Capel Newydd near Gaiman in Patagonia, died at the age of 92.;mlwydd;blwydd;NM;L;92
108;33;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Ffermio oedd bywoliaeth Siôn hefyd, ac fe fu'n byw yn yr un ardal yn Nyffryn Coch ar hyd ei oes, a Chapel Newydd gerllaw.;Siôn's livelihood was also farming, and he lived in the same area in Dyffryn Coch all his life, with Chapel Newydd nearby.;fu;bu;SM;L;fe
109;33;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Ffermio oedd bywoliaeth Siôn hefyd, ac fe fu'n byw yn yr un ardal yn Nyffryn Coch ar hyd ei oes, a Chapel Newydd gerllaw.;Siôn's livelihood was also farming, and he lived in the same area in Dyffryn Coch all his life, with Chapel Newydd nearby.;Nyffryn;dyffryn;NM;L;yn
110;33;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Ffermio oedd bywoliaeth Siôn hefyd, ac fe fu'n byw yn yr un ardal yn Nyffryn Coch ar hyd ei oes, a Chapel Newydd gerllaw.;Siôn's livelihood was also farming, and he lived in the same area in Dyffryn Coch all his life, with Chapel Newydd nearby.;Chapel;capel;AM;L;a
111;34;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Dyma olwg ar yr hyn sy'n wynebu Wrecsam a Chasnewydd.;Here is a look at what faces Wrexham and Newport.;olwg;golwg;SM;L;dyma
112;34;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Dyma olwg ar yr hyn sy'n wynebu Wrecsam a Chasnewydd.;Here is a look at what faces Wrexham and Newport.;Chasnewydd;Casnewydd;AM;L;a
113;35;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.;The battle to stay in the league pyramid is down to the last day.;frwydr;brwydr;SM;MS;def_art_fem_sing_noun
114;35;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.;The battle to stay in the league pyramid is down to the last day.;mhyramid;pyramid;NM;L;ym
115;35;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.;The battle to stay in the league pyramid is down to the last day.;gynghrair;cynghrair;SM;MS;def_art_fem_sing_noun
116;35;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.;The battle to stay in the league pyramid is down to the last day.;lawr;llawr;SM;L;i
117;36;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r fwyaf yn nhermau ei hardal ddaearyddol.;Among 16 new constituencies, Gwynedd Maldwyn is the largest in terms of its geographical area.;fwyaf;mwyaf;SM;MS;def_art_fem_sing_noun
118;36;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r fwyaf yn nhermau ei hardal ddaearyddol.;Among 16 new constituencies, Gwynedd Maldwyn is the largest in terms of its geographical area.;nhermau;termau;NM;L;yn
119;36;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r fwyaf yn nhermau ei hardal ddaearyddol.;Among 16 new constituencies, Gwynedd Maldwyn is the largest in terms of its geographical area.;ddaearyddol;daearyddol;SM;MS;fem_sing_noun_modifier
120;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;There are communities in the strongholds of the Welsh language and some where the people go to England to shop and access services.;nghadarnleoedd;cadarnleoedd;NM;L;yng
121;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;There are communities in the strongholds of the Welsh language and some where the people go to England to shop and access services.;Gymraeg;Cymraeg;SM;MS;fem_sing_noun_modifier
122;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;There are communities in the strongholds of the Welsh language and some where the people go to England to shop and access services.;bobl;pobl;SM;MS;def_art_fem_sing_noun
123;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;There are communities in the strongholds of the Welsh language and some where the people go to England to shop and access services.;Loegr;Lloegr;SM;L;i
124;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;There are communities in the strongholds of the Welsh language and some where the people go to England to shop and access services.;chael;cael;AM;L;a
125;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;There are communities in the strongholds of the Welsh language and some where the people go to England to shop and access services.;wasanaethau;gwasanaeth;SM;L;at
126;38;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.;With the Welsh women's rugby team currently competing in the Six Nations Championship, the first series is available to watch.;thîm;tìm;AM;L;â
127;38;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.;With the Welsh women's rugby team currently competing in the Six Nations Championship, the first series is available to watch.;Mhencampwriaeth;pencampwriaeth;NM;L;ym
128;38;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.;With the Welsh women's rugby team currently competing in the Six Nations Championship, the first series is available to watch.;gwylio;gwylio;no_NM;no_mutation;no_mutation
129;38;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.;With the Welsh women's rugby team currently competing in the Six Nations Championship, the first series is available to watch.;gyfres;cyfres;SM;MS;def_art_fem_sing_noun
130;38;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.;With the Welsh women's rugby team currently competing in the Six Nations Championship, the first series is available to watch.;gyntaf;cyntaf;SM;MS;fem_sing_noun_modifier
131;39;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Ond Amdani, nofel i oedolion, oedd y gyfrol gyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.;But Amdani, a novel for adults, was the first book she published in 1997 when she was 34 years old.;gyfrol;cyfrol;SM;MS;def_art_fem_sing_noun
132;39;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Ond Amdani, nofel i oedolion, oedd y gyfrol gyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.;But Amdani, a novel for adults, was the first book she published in 1997 when she was 34 years old.;gyntaf;cyntaf;SM;MS;fem_sing_noun_modifier
133;39;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Ond Amdani, nofel i oedolion, oedd y gyfrol gyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.;But Amdani, a novel for adults, was the first book she published in 1997 when she was 34 years old.;gyhoeddi;cyhoeddi;SM;MS;i_plus_NP
134;39;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Ond Amdani, nofel i oedolion, oedd y gyfrol gyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.;But Amdani, a novel for adults, was the first book she published in 1997 when she was 34 years old.;mlwydd;blwydd;NM;L;34
135;40;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Byddwn yn eu hatgoffa o'u cyfrifoldebau fel aelodau etholedig yng nghyd-destun yr iaith Gymraeg.;We will remind them of their responsibilities as elected members in the context of the Welsh language.;cyfrifoldebau;cyfrifoldeb;no_SM;no_mutation;no_mutation
136;40;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Byddwn yn eu hatgoffa o'u cyfrifoldebau fel aelodau etholedig yng nghyd-destun yr iaith Gymraeg.;We will remind them of their responsibilities as elected members in the context of the Welsh language.;nghyd-destun;cyd-destun;NM;L;yng
137;40;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Byddwn yn eu hatgoffa o'u cyfrifoldebau fel aelodau etholedig yng nghyd-destun yr iaith Gymraeg.;We will remind them of their responsibilities as elected members in the context of the Welsh language.;Gymraeg;Cymraeg;SM;MS;fem_sing_noun_modifier
138;41;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Rydym mynd i gyrraedd ein targed o filiwn o siaradwyr Cymraeg a dyblu'r defnydd o'r Gymraeg ym mywyd beunyddiol erbyn 2050.;We are going to reach our target of one million Welsh speakers and double the use of the Welsh language in daily life by 2050.;gyrraedd;cyrraedd;SM;L;i
139;41;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Rydym mynd i gyrraedd ein targed o filiwn o siaradwyr Cymraeg a dyblu'r defnydd o'r Gymraeg ym mywyd beunyddiol erbyn 2050.;We are going to reach our target of one million Welsh speakers and double the use of the Welsh language in daily life by 2050.;filiwn;miliwn;SM;L;o
140;41;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Rydym mynd i gyrraedd ein targed o filiwn o siaradwyr Cymraeg a dyblu'r defnydd o'r Gymraeg ym mywyd beunyddiol erbyn 2050.;We are going to reach our target of one million Welsh speakers and double the use of the Welsh language in daily life by 2050.;Gymraeg;Cymraeg;SM;MS;def_art_fem_sing_noun
141;41;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Rydym mynd i gyrraedd ein targed o filiwn o siaradwyr Cymraeg a dyblu'r defnydd o'r Gymraeg ym mywyd beunyddiol erbyn 2050.;We are going to reach our target of one million Welsh speakers and double the use of the Welsh language in daily life by 2050.;mywyd;bywyd;NM;L;ym
142;42;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae masnachwyr mewn marchnad yng Nghaerdydd wedi dweud eu bod yn teimlo'n dorcalonnus.;Traders at a market in Cardiff have said they feel heartbroken.;Nghaerdydd;Caerdydd;NM;L;yng
143;42;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae masnachwyr mewn marchnad yng Nghaerdydd wedi dweud eu bod yn teimlo'n dorcalonnus.;Traders at a market in Cardiff have said they feel heartbroken.;dorcalonnus;torcalonnus;SM;MS;yn_complement_adj_noun
144;43;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae'r farchnad, sy'n boblogaidd ymhlith prynwyr propiau teledu a chasglwyr, wedi bod ar agor ers 12 mlynedd.;The market, which is popular with TV prop buyers and collectors, has been open for 12 years.;farchnad;marchnad;SM;MS;def_art_fem_sing_noun
145;43;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae'r farchnad, sy'n boblogaidd ymhlith prynwyr propiau teledu a chasglwyr, wedi bod ar agor ers 12 mlynedd.;The market, which is popular with TV prop buyers and collectors, has been open for 12 years.;boblogaidd;poblogaidd;SM;MS;yn_complement_adj_noun
146;43;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae'r farchnad, sy'n boblogaidd ymhlith prynwyr propiau teledu a chasglwyr, wedi bod ar agor ers 12 mlynedd.;The market, which is popular with TV prop buyers and collectors, has been open for 12 years.;chasglwyr;casglwr;AM;L;a
147;43;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae'r farchnad, sy'n boblogaidd ymhlith prynwyr propiau teledu a chasglwyr, wedi bod ar agor ers 12 mlynedd.;The market, which is popular with TV prop buyers and collectors, has been open for 12 years.;mlynedd;blwyddyn;NM;L;12
148;44;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae'n anodd gweld amser i fod yn chi ac ymlacio a chael amser hamddenol gyda'ch teulu chi.;It's hard to find time to be yourself and relax and have some relaxing time with your family.;fod;bod;SM;L;i
149;44;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae'n anodd gweld amser i fod yn chi ac ymlacio a chael amser hamddenol gyda'ch teulu chi.;It's hard to find time to be yourself and relax and have some relaxing time with your family.;chael;cael;AM;L;a
150;45;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae Dewi, 15, yn falch bod y gwaith yn cael ei wasgaru dros ddwy flynedd.;Dewi, 15, is proud that the work is spread over two years.;falch;balch;SM;MS;yn_complement_adj_noun
151;45;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae Dewi, 15, yn falch bod y gwaith yn cael ei wasgaru dros ddwy flynedd.;Dewi, 15, is proud that the work is spread over two years.;wasgaru;gwasgaru;SM;L;ei
152;45;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae Dewi, 15, yn falch bod y gwaith yn cael ei wasgaru dros ddwy flynedd.;Dewi, 15, is proud that the work is spread over two years.;ddwy;dau;SM;L;dros
153;45;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae Dewi, 15, yn falch bod y gwaith yn cael ei wasgaru dros ddwy flynedd.;Dewi, 15, is proud that the work is spread over two years.;flynedd;blwyddyn;SM;L;ddwy
154;46;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae Siôn, sy'n derbyn gofal yng ngofal Bryn Mawr yng Nghaernarfon, yn falch iawn o'u cael yno;Siôn, who is cared for at Bryn Mawr care in Caernarfon, is very proud to have them there;ngofal;cofal;NM;L;yng
155;46;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae Siôn, sy'n derbyn gofal yng ngofal Bryn Mawr yng Nghaernarfon, yn falch iawn o'u cael yno;Siôn, who is cared for at Bryn Mawr care in Caernarfon, is very proud to have them there;Nghaernarfon;Caernarfon;NM;L;yng
156;46;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae Siôn, sy'n derbyn gofal yng ngofal Bryn Mawr yng Nghaernarfon, yn falch iawn o'u cael yno;Siôn, who is cared for at Bryn Mawr care in Caernarfon, is very proud to have them there;falch;balch;SM;MS;yn_complement_adj_noun
157;47;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae'n gallu bod yn anodd ofnadwy i recriwtio pobl leol yma ym Mryn Mawr.;It can be terribly difficult to recruit local people here in Bryn Mawr.;leol;lleol;SM;MS;fem_sing_noun_modifier
158;47;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae'n gallu bod yn anodd ofnadwy i recriwtio pobl leol yma ym Mryn Mawr.;It can be terribly difficult to recruit local people here in Bryn Mawr.;gallu;gallu;no_SM;no_mutation;no_mutation
159;47;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae'n gallu bod yn anodd ofnadwy i recriwtio pobl leol yma ym Mryn Mawr.;It can be terribly difficult to recruit local people here in Bryn Mawr.;Mryn;Bryn;NM;L;ym
160;48;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Mae ei geiriau Wele'n Sefyll Rhwng y Myrtwydd yn cael ei chanu fwy nag unrhyw emyn arall.;Her words Wele'n Sefyll Rwng y Myrtwydd are sung more than any other hymn.;chanu;canu;AM;L;ei
161;48;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Mae ei geiriau Wele'n Sefyll Rhwng y Myrtwydd yn cael ei chanu fwy nag unrhyw emyn arall.;Her words Wele'n Sefyll Rwng y Myrtwydd are sung more than any other hymn.;fwy;mwy;SM;MS;adverb_time_place_manner
162;49;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Fe ges wefr a fy ngwefru'r noson honno, a byth ers hynny rydw i wedi bod ar daith o ddod i adnabod Ann.;I was thrilled and charged that night, and ever since then I have been on a journey of getting to know Ann.;ces;cael;SM;L;fe
163;49;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Fe ges wefr a fy ngwefru'r noson honno, a byth ers hynny rydw i wedi bod ar daith o ddod i adnabod Ann.;I was thrilled and charged that night, and ever since then I have been on a journey of getting to know Ann.;wefr;gwefr;SM;MS;direct_object_mutation
164;49;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Fe ges wefr a fy ngwefru'r noson honno, a byth ers hynny rydw i wedi bod ar daith o ddod i adnabod Ann.;I was thrilled and charged that night, and ever since then I have been on a journey of getting to know Ann.;ngwefru;gwefru;NM;L;fy
165;49;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Fe ges wefr a fy ngwefru'r noson honno, a byth ers hynny rydw i wedi bod ar daith o ddod i adnabod Ann.;I was thrilled and charged that night, and ever since then I have been on a journey of getting to know Ann.;daith;taith;SM;L;ar
166;49;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Fe ges wefr a fy ngwefru'r noson honno, a byth ers hynny rydw i wedi bod ar daith o ddod i adnabod Ann.;I was thrilled and charged that night, and ever since then I have been on a journey of getting to know Ann.;ddod;dod;SM;L;o
167;50;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;Mae diffoddwyr tân yn delio ag achosion o danau gwyllt ym Mhowys.;Firefighters are dealing with wildfires in Powys.;danau;tanau;SM;L;o
168;50;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;Mae diffoddwyr tân yn delio ag achosion o danau gwyllt ym Mhowys.;Firefighters are dealing with wildfires in Powys.;Mhowys;Powys;AM;L;ym
169;51;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;"Mae'r Ymddiriedolaeth Genedlaethol wedi cau Ystâd Hafod ym Mhont-rhyd-y-groes i ymwelwyr ""fel mesur rhagofal"" oherwydd y tân yng Nghwm Elan.";"The National Trust has closed the Hafod Estate in Pont-rhyd-y-groes to visitors ""as a precautionary measure"" due to the fire in the Elan Valley.";tân;tân;no_NM;no_mutation;no_mutation
170;51;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;"Mae'r Ymddiriedolaeth Genedlaethol wedi cau Ystâd Hafod ym Mhont-rhyd-y-groes i ymwelwyr ""fel mesur rhagofal"" oherwydd y tân yng Nghwm Elan.";"The National Trust has closed the Hafod Estate in Pont-rhyd-y-groes to visitors ""as a precautionary measure"" due to the fire in the Elan Valley.";Genedlaethol;Cenedlaethol;SM;MS;fem_sing_noun_modifier
171;51;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;"Mae'r Ymddiriedolaeth Genedlaethol wedi cau Ystâd Hafod ym Mhont-rhyd-y-groes i ymwelwyr ""fel mesur rhagofal"" oherwydd y tân yng Nghwm Elan.";"The National Trust has closed the Hafod Estate in Pont-rhyd-y-groes to visitors ""as a precautionary measure"" due to the fire in the Elan Valley.";Mhont-rhyd-y-groes;Pont-rhyd-y-groes;NM;L;ym
172;51;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;"Mae'r Ymddiriedolaeth Genedlaethol wedi cau Ystâd Hafod ym Mhont-rhyd-y-groes i ymwelwyr ""fel mesur rhagofal"" oherwydd y tân yng Nghwm Elan.";"The National Trust has closed the Hafod Estate in Pont-rhyd-y-groes to visitors ""as a precautionary measure"" due to the fire in the Elan Valley.";Nghwm;cwm;NM;L;yng
173;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;The couple bought their first home together five years ago, with a view of Barry Island beach.;wnaeth;gwneud;SM;L;fe
174;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;The couple bought their first home together five years ago, with a view of Barry Island beach.;brynu;prynu;SM;MS;direct_object_mutation
175;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;The couple bought their first home together five years ago, with a view of Barry Island beach.;bum;pump;SM;MS;adverb_time_place_manner
176;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;The couple bought their first home together five years ago, with a view of Barry Island beach.;cartref;cartref;no_AM;no_mutation;no_mutation
177;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;The couple bought their first home together five years ago, with a view of Barry Island beach.;mlynedd;blwyddyn;NM;L;bum
178;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;The couple bought their first home together five years ago, with a view of Barry Island beach.;Barri;Barri;no_NM;no_mutation;no_mutation
