"item","correct_sentence","incorrect_form_1","incorrect_form_2","incorrect_form_3","incorrect_sentence_1","incorrect_sentence_2","incorrect_sentence_3"
"2424","Ar wahân i'r pafiliwn mawr, bydd hefyd y Babell Len, y Babell Ddawns, Pabell y Cymdeithasau, y Lle Celf; a bydd nifer o stondinau gan gymdeithasau gwirfoddol, megis yr Urdd, Merched Wawr; bydd y pleidiau gwleidyddol ar y maes hefyd a busnesau.","Llen",NA,NA,"Ar wahân i'r pafiliwn mawr, bydd hefyd y Babell Llen, y Babell Ddawns, Pabell y Cymdeithasau, y Lle Celf; a bydd nifer o stondinau gan gymdeithasau gwirfoddol, megis yr Urdd, Merched Wawr; bydd y pleidiau gwleidyddol ar y maes hefyd a busnesau.",NA,NA
"2434","Mae ein harolwg diweddaraf o unigolion sydd â phrofiad byw yn dweud wrthym fod hunan-stigma wedi cynyddu'n sylweddol ymhlith y rhai sy'n dioddef o broblemau iechyd meddwl ers i'r cyfnod clo gael gymryd effaith yng Nghymru.","cymryd","nghymryd","chymryd","Mae ein harolwg diweddaraf o unigolion sydd â phrofiad byw yn dweud wrthym fod hunan-stigma wedi cynyddu'n sylweddol ymhlith y rhai sy'n dioddef o broblemau iechyd meddwl ers i'r cyfnod clo gael cymryd effaith yng Nghymru.","Mae ein harolwg diweddaraf o unigolion sydd â phrofiad byw yn dweud wrthym fod hunan-stigma wedi cynyddu'n sylweddol ymhlith y rhai sy'n dioddef o broblemau iechyd meddwl ers i'r cyfnod clo gael nghymryd effaith yng Nghymru.","Mae ein harolwg diweddaraf o unigolion sydd â phrofiad byw yn dweud wrthym fod hunan-stigma wedi cynyddu'n sylweddol ymhlith y rhai sy'n dioddef o broblemau iechyd meddwl ers i'r cyfnod clo gael chymryd effaith yng Nghymru."
"2506","Mae'n anodd meddwl am gyfnod mwy cyffrous, o safbwynt y farchnad waith, i raddedigion yn meddu ar gymhwyster da yn y Gymraeg.","gwaith","ngwaith",NA,"Mae'n anodd meddwl am gyfnod mwy cyffrous, o safbwynt y farchnad gwaith, i raddedigion yn meddu ar gymhwyster da yn y Gymraeg.","Mae'n anodd meddwl am gyfnod mwy cyffrous, o safbwynt y farchnad ngwaith, i raddedigion yn meddu ar gymhwyster da yn y Gymraeg.",NA
"2553","Ar ôl graddio mewn peirianneg gemegol, treuliodd wyth mlynedd yn gweithio yn y diwydiant olew yn yr Iseldiroedd ac yn y DU.","cemegol","nghemegol","chemegol","Ar ôl graddio mewn peirianneg cemegol, treuliodd wyth mlynedd yn gweithio yn y diwydiant olew yn yr Iseldiroedd ac yn y DU.","Ar ôl graddio mewn peirianneg nghemegol, treuliodd wyth mlynedd yn gweithio yn y diwydiant olew yn yr Iseldiroedd ac yn y DU.","Ar ôl graddio mewn peirianneg chemegol, treuliodd wyth mlynedd yn gweithio yn y diwydiant olew yn yr Iseldiroedd ac yn y DU."
"2598","Efallai na ddylwn fod wedi cynllunio gwers lawn ar ôl y sioe.","llawn",NA,NA,"Efallai na ddylwn fod wedi cynllunio gwers llawn ar ôl y sioe.",NA,NA
"2864","Roeddwn i'n ffodus iawn o gael fy newis o blith dros 100 o ymgeiswyr.","dewis","ddewis",NA,"Roeddwn i'n ffodus iawn o gael fy dewis o blith dros 100 o ymgeiswyr.","Roeddwn i'n ffodus iawn o gael fy ddewis o blith dros 100 o ymgeiswyr.",NA
"2877","Mae e'n grediniol bod yna gynulleidfa ar gyfer cynnwys da cyfrwng Cymraeg, ond nid ar ffurf gorsaf radio draddodiadol,  fformat fel Netflix lle gall y defnyddiwr ddewis a dethol sydd ei angen.","traddodiadol","nhraddodiadol","thraddodiadol","Mae e'n grediniol bod yna gynulleidfa ar gyfer cynnwys da cyfrwng Cymraeg, ond nid ar ffurf gorsaf radio traddodiadol,  fformat fel Netflix lle gall y defnyddiwr ddewis a dethol sydd ei angen.","Mae e'n grediniol bod yna gynulleidfa ar gyfer cynnwys da cyfrwng Cymraeg, ond nid ar ffurf gorsaf radio nhraddodiadol,  fformat fel Netflix lle gall y defnyddiwr ddewis a dethol sydd ei angen.","Mae e'n grediniol bod yna gynulleidfa ar gyfer cynnwys da cyfrwng Cymraeg, ond nid ar ffurf gorsaf radio thraddodiadol,  fformat fel Netflix lle gall y defnyddiwr ddewis a dethol sydd ei angen."
"2878","Y Gyngres Astudiaethau Celtaidd Ryngwladol yw'r prif gynulliad rhyngwladol ar gyfer ysgolheigion sy'n ymchwilio i ieithoedd, llenyddiaethau a thraddodiadau diwylliannol y bobloedd hynny sydd ac a fu'n siarad ieithoedd Celtaidd.","Rhyngwladol",NA,NA,"Y Gyngres Astudiaethau Celtaidd Rhyngwladol yw'r prif gynulliad rhyngwladol ar gyfer ysgolheigion sy'n ymchwilio i ieithoedd, llenyddiaethau a thraddodiadau diwylliannol y bobloedd hynny sydd ac a fu'n siarad ieithoedd Celtaidd.",NA,NA
"3261","Croesawyd aelodau'r cyhoedd i ddod i edrych ar wyfynnod megis y crwbach cleisiog (marbled brown) a'r crwbach gwelw a gafodd eu dal yn Nhŷ Hyll neithiwr.","gwyfynnod","ngwyfynnod",NA,"Croesawyd aelodau'r cyhoedd i ddod i edrych ar gwyfynnod megis y crwbach cleisiog (marbled brown) a'r crwbach gwelw a gafodd eu dal yn Nhŷ Hyll neithiwr.","Croesawyd aelodau'r cyhoedd i ddod i edrych ar ngwyfynnod megis y crwbach cleisiog (marbled brown) a'r crwbach gwelw a gafodd eu dal yn Nhŷ Hyll neithiwr.",NA
"3644","Fy nadl i wrth i ni ofyn wrth bobl fod yn rhan o'r drafodaeth am ddyfodol cyfansoddiadol Cymru ydi, pan na fyddwch chi eisiau edrych ar na thrafod ""ydan ni'n gallu 'neud pethau'n well yma yng Nghymru?""","dadl","ddadl",NA,"Fy dadl i wrth i ni ofyn wrth bobl fod yn rhan o'r drafodaeth am ddyfodol cyfansoddiadol Cymru ydi, pan na fyddwch chi eisiau edrych ar na thrafod ""ydan ni'n gallu 'neud pethau'n well yma yng Nghymru?""","Fy ddadl i wrth i ni ofyn wrth bobl fod yn rhan o'r drafodaeth am ddyfodol cyfansoddiadol Cymru ydi, pan na fyddwch chi eisiau edrych ar na thrafod ""ydan ni'n gallu 'neud pethau'n well yma yng Nghymru?""",NA
"3772","Mae eich amser wedi hen ddod i ben, Weinidog.","Gweinidog","Ngweinidog",NA,"Mae eich amser wedi hen ddod i ben, Gweinidog.","Mae eich amser wedi hen ddod i ben, Ngweinidog.",NA
"3779","Fel rwyf wedi dweud droeon ar y blog, bydd Rhagluniaeth, yn weddol reolaidd, yn gyrru pethau i geisio gwylltio'r Cymry a'u deffro i wneud rhywbeth ohoni.","rheolaidd",NA,NA,"Fel rwyf wedi dweud droeon ar y blog, bydd Rhagluniaeth, yn weddol rheolaidd, yn gyrru pethau i geisio gwylltio'r Cymry a'u deffro i wneud rhywbeth ohoni.",NA,NA
"3994","Maen nhw'n sefydlu ym Nolgellau.","Dolgellau","Ddolgellau",NA,"Maen nhw'n sefydlu ym Dolgellau.","Maen nhw'n sefydlu ym Ddolgellau.",NA
"4022","Offeryn cerdd gyda thannau a genir â'r bysedd yw telyn.","cenir","nghenir","chenir","Offeryn cerdd gyda thannau a cenir â'r bysedd yw telyn.","Offeryn cerdd gyda thannau a nghenir â'r bysedd yw telyn.","Offeryn cerdd gyda thannau a chenir â'r bysedd yw telyn."
"4659","Yng ngorllewin y parc mae'r Fforest Fawr a'r Mynydd Du, rhostir eang, ac yn y dwyrain y tu draw i Fannau Brycheiniog mae mynyddoedd o'r un enw, Mynydd Du, ar y ffin â Lloegr.","Bannau","Mannau",NA,"Yng ngorllewin y parc mae'r Fforest Fawr a'r Mynydd Du, rhostir eang, ac yn y dwyrain y tu draw i Bannau Brycheiniog mae mynyddoedd o'r un enw, Mynydd Du, ar y ffin â Lloegr.","Yng ngorllewin y parc mae'r Fforest Fawr a'r Mynydd Du, rhostir eang, ac yn y dwyrain y tu draw i Mannau Brycheiniog mae mynyddoedd o'r un enw, Mynydd Du, ar y ffin â Lloegr.",NA
"4962","Bydd sicrhau cyfradd lawer uwch o gartrefi mewn perchnogaeth cyhoeddus a chymunedol - drwy awdurdodau lleol, cymdeithasau tai, mentrau mewn perchnogaeth gymunedol a mentrau cydweithredol - hefyd yn dylanwadu'n gadarnhaol ar fforddiadwyedd yn y farchnad dai ehangach.","llawer",NA,NA,"Bydd sicrhau cyfradd llawer uwch o gartrefi mewn perchnogaeth cyhoeddus a chymunedol - drwy awdurdodau lleol, cymdeithasau tai, mentrau mewn perchnogaeth gymunedol a mentrau cydweithredol - hefyd yn dylanwadu'n gadarnhaol ar fforddiadwyedd yn y farchnad dai ehangach.",NA,NA
"5142","Ond ei phrif swmp o waith dros y blynyddoedd diwethaf, gwaith eto a roddodd bleser amheuthun iddi, oedd storïo a sgriptio Pobol y Cwm.","prif","brif","mhrif","Ond ei prif swmp o waith dros y blynyddoedd diwethaf, gwaith eto a roddodd bleser amheuthun iddi, oedd storïo a sgriptio Pobol y Cwm.","Ond ei brif swmp o waith dros y blynyddoedd diwethaf, gwaith eto a roddodd bleser amheuthun iddi, oedd storïo a sgriptio Pobol y Cwm.","Ond ei mhrif swmp o waith dros y blynyddoedd diwethaf, gwaith eto a roddodd bleser amheuthun iddi, oedd storïo a sgriptio Pobol y Cwm."
"5157","Os mai'r unig beth yr hoffech amdano mewn gwyliau yw torheulo yn heulwen boeth ar draeth, nid yw gaeaf yn Eryri yn ôl pob tebyg i chi.","poeth","mhoeth","phoeth","Os mai'r unig beth yr hoffech amdano mewn gwyliau yw torheulo yn heulwen poeth ar draeth, nid yw gaeaf yn Eryri yn ôl pob tebyg i chi.","Os mai'r unig beth yr hoffech amdano mewn gwyliau yw torheulo yn heulwen mhoeth ar draeth, nid yw gaeaf yn Eryri yn ôl pob tebyg i chi.","Os mai'r unig beth yr hoffech amdano mewn gwyliau yw torheulo yn heulwen phoeth ar draeth, nid yw gaeaf yn Eryri yn ôl pob tebyg i chi."
"5301","Mae gen i ddiddordeb angerddol yn y pwnc a'r holl sgiliau llenyddol a phroffesiynol bydd yn ei gynnig i mi.","fydd","mydd",NA,"Mae gen i ddiddordeb angerddol yn y pwnc a'r holl sgiliau llenyddol a phroffesiynol fydd yn ei gynnig i mi.","Mae gen i ddiddordeb angerddol yn y pwnc a'r holl sgiliau llenyddol a phroffesiynol mydd yn ei gynnig i mi.",NA
"5379","Fe glywais i'r bom yn gwneud sŵn cloncian o danon ni.","clywais","nghlywais","chlywais","Fe clywais i'r bom yn gwneud sŵn cloncian o danon ni.","Fe nghlywais i'r bom yn gwneud sŵn cloncian o danon ni.","Fe chlywais i'r bom yn gwneud sŵn cloncian o danon ni."
"5583","Dyma, felly, un o asidau mwynau a wyddwn amdano.","gwyddwn","ngwyddwn",NA,"Dyma, felly, un o asidau mwynau a gwyddwn amdano.","Dyma, felly, un o asidau mwynau a ngwyddwn amdano.",NA
"5819","Dywedodd Jeremy Parr o Gyfoeth Naturiol Cymru: ""Rydym yn bryderus yn enwedig am y rhagolygon o law sylweddol yn y de, yn enwedig mor fuan wedi Storm Dennis.","Cyfoeth","Nghyfoeth","Chyfoeth","Dywedodd Jeremy Parr o Cyfoeth Naturiol Cymru: ""Rydym yn bryderus yn enwedig am y rhagolygon o law sylweddol yn y de, yn enwedig mor fuan wedi Storm Dennis.","Dywedodd Jeremy Parr o Nghyfoeth Naturiol Cymru: ""Rydym yn bryderus yn enwedig am y rhagolygon o law sylweddol yn y de, yn enwedig mor fuan wedi Storm Dennis.","Dywedodd Jeremy Parr o Chyfoeth Naturiol Cymru: ""Rydym yn bryderus yn enwedig am y rhagolygon o law sylweddol yn y de, yn enwedig mor fuan wedi Storm Dennis."
"6079","Gobeithiaf y gwnewch ystyried ymestyn y cyfnod ymgynghori, Weinidog, i ganiatáu i'r ymateb ar lawr gwlad gael ei gyfleu, yn hytrach nag ymgynghori â'r mawrion yn unig.","Gweinidog","Ngweinidog",NA,"Gobeithiaf y gwnewch ystyried ymestyn y cyfnod ymgynghori, Gweinidog, i ganiatáu i'r ymateb ar lawr gwlad gael ei gyfleu, yn hytrach nag ymgynghori â'r mawrion yn unig.","Gobeithiaf y gwnewch ystyried ymestyn y cyfnod ymgynghori, Ngweinidog, i ganiatáu i'r ymateb ar lawr gwlad gael ei gyfleu, yn hytrach nag ymgynghori â'r mawrion yn unig.",NA
"6209","Disgwylir i nifer y disgyblion ysgol cynradd sy'n cael eu haddysgu drwy'r Wyddeleg gyrraedd y nifer uchaf erioed eleni.","chynradd","gynradd","nghynradd","Disgwylir i nifer y disgyblion ysgol chynradd sy'n cael eu haddysgu drwy'r Wyddeleg gyrraedd y nifer uchaf erioed eleni.","Disgwylir i nifer y disgyblion ysgol gynradd sy'n cael eu haddysgu drwy'r Wyddeleg gyrraedd y nifer uchaf erioed eleni.","Disgwylir i nifer y disgyblion ysgol nghynradd sy'n cael eu haddysgu drwy'r Wyddeleg gyrraedd y nifer uchaf erioed eleni."
"6364","Rhydd y dadansoddiad yma hefyd wybodaeth sylfaenol am amlder y gwahanol ddosbarthiadau geiriol, ffurfdroadau, treigliadau a nodweddion gramadegol eraill.","gwybodaeth","ngwybodaeth",NA,"Rhydd y dadansoddiad yma hefyd gwybodaeth sylfaenol am amlder y gwahanol ddosbarthiadau geiriol, ffurfdroadau, treigliadau a nodweddion gramadegol eraill.","Rhydd y dadansoddiad yma hefyd ngwybodaeth sylfaenol am amlder y gwahanol ddosbarthiadau geiriol, ffurfdroadau, treigliadau a nodweddion gramadegol eraill.",NA
"6386","Y bwriad yw adlewyrchu'r croeso cynnes i'r Eisteddfod yn yr ardal, a hynny gyda thros flwyddyn i fynd tan y Brifwyl ei hun.","tros","dros","nhros","Y bwriad yw adlewyrchu'r croeso cynnes i'r Eisteddfod yn yr ardal, a hynny gyda tros flwyddyn i fynd tan y Brifwyl ei hun.","Y bwriad yw adlewyrchu'r croeso cynnes i'r Eisteddfod yn yr ardal, a hynny gyda dros flwyddyn i fynd tan y Brifwyl ei hun.","Y bwriad yw adlewyrchu'r croeso cynnes i'r Eisteddfod yn yr ardal, a hynny gyda nhros flwyddyn i fynd tan y Brifwyl ei hun."
"6511","Brexit yw'r broses wleidyddol ryfeddaf i mi ei chofio erioed, ac efallai mai'r peth iachaf i ni gyd fyddai i ni roi'r gorau i geisio gwneud synnwyr o beth sy'n digwydd.","cofio","gofio","nghofio","Brexit yw'r broses wleidyddol ryfeddaf i mi ei cofio erioed, ac efallai mai'r peth iachaf i ni gyd fyddai i ni roi'r gorau i geisio gwneud synnwyr o beth sy'n digwydd.","Brexit yw'r broses wleidyddol ryfeddaf i mi ei gofio erioed, ac efallai mai'r peth iachaf i ni gyd fyddai i ni roi'r gorau i geisio gwneud synnwyr o beth sy'n digwydd.","Brexit yw'r broses wleidyddol ryfeddaf i mi ei nghofio erioed, ac efallai mai'r peth iachaf i ni gyd fyddai i ni roi'r gorau i geisio gwneud synnwyr o beth sy'n digwydd."
"6534","Ges i blentyndod hyfryd ac rwyf dal yn agos iawn at fy rhieni.","Ces","Nghes","Ches","Ces i blentyndod hyfryd ac rwyf dal yn agos iawn at fy rhieni.","Nghes i blentyndod hyfryd ac rwyf dal yn agos iawn at fy rhieni.","Ches i blentyndod hyfryd ac rwyf dal yn agos iawn at fy rhieni."
"6673","Sioe gerdd yn seiliedig ar yr hen chwedl Wyddelig am y tywysog Osian a Nia Ben Aur, y ferch o Dir Na n-Og, yw Nia Ben Aur.","Tir","Nhir","Thir","Sioe gerdd yn seiliedig ar yr hen chwedl Wyddelig am y tywysog Osian a Nia Ben Aur, y ferch o Tir Na n-Og, yw Nia Ben Aur.","Sioe gerdd yn seiliedig ar yr hen chwedl Wyddelig am y tywysog Osian a Nia Ben Aur, y ferch o Nhir Na n-Og, yw Nia Ben Aur.","Sioe gerdd yn seiliedig ar yr hen chwedl Wyddelig am y tywysog Osian a Nia Ben Aur, y ferch o Thir Na n-Og, yw Nia Ben Aur."
"6744","Mi gawson ni chwip o wythnos yn Nhregaron, ac mi fydd hi'n Eisteddfod fydd yn aros yn y cof yn hir iawn.","Tregaron","Dregaron","Thregaron","Mi gawson ni chwip o wythnos yn Tregaron, ac mi fydd hi'n Eisteddfod fydd yn aros yn y cof yn hir iawn.","Mi gawson ni chwip o wythnos yn Dregaron, ac mi fydd hi'n Eisteddfod fydd yn aros yn y cof yn hir iawn.","Mi gawson ni chwip o wythnos yn Thregaron, ac mi fydd hi'n Eisteddfod fydd yn aros yn y cof yn hir iawn."
"6899","O'dd y gath wedi 'nafu ei thro'd.","tro'd","dro'd","nhro'd","O'dd y gath wedi 'nafu ei tro'd.","O'dd y gath wedi 'nafu ei dro'd.","O'dd y gath wedi 'nafu ei nhro'd."
"6933","Ynddo, mynnodd y mudiad bod Swyddfa'r Post yn codi arwyddion gwbl ddwyieithog, annog staff i wneud mwy o ddefnydd o'r Gymraeg gyda chymorth Swyddfa'r Post, bod ffurflenni Cymraeg mor amlwg ac mor hawdd i'w derbyn â rhai Saesneg, a bod cwsmeriaid sy'n dewis defnyddio'r Gymraeg yn cael eu trin â pharch.","cwbl","nghwbl","chwbl","Ynddo, mynnodd y mudiad bod Swyddfa'r Post yn codi arwyddion cwbl ddwyieithog, annog staff i wneud mwy o ddefnydd o'r Gymraeg gyda chymorth Swyddfa'r Post, bod ffurflenni Cymraeg mor amlwg ac mor hawdd i'w derbyn â rhai Saesneg, a bod cwsmeriaid sy'n dewis defnyddio'r Gymraeg yn cael eu trin â pharch.","Ynddo, mynnodd y mudiad bod Swyddfa'r Post yn codi arwyddion nghwbl ddwyieithog, annog staff i wneud mwy o ddefnydd o'r Gymraeg gyda chymorth Swyddfa'r Post, bod ffurflenni Cymraeg mor amlwg ac mor hawdd i'w derbyn â rhai Saesneg, a bod cwsmeriaid sy'n dewis defnyddio'r Gymraeg yn cael eu trin â pharch.","Ynddo, mynnodd y mudiad bod Swyddfa'r Post yn codi arwyddion chwbl ddwyieithog, annog staff i wneud mwy o ddefnydd o'r Gymraeg gyda chymorth Swyddfa'r Post, bod ffurflenni Cymraeg mor amlwg ac mor hawdd i'w derbyn â rhai Saesneg, a bod cwsmeriaid sy'n dewis defnyddio'r Gymraeg yn cael eu trin â pharch."
"6964","Chwaraeodd ran bwysig yn hanes Rhufain.","rhan",NA,NA,"Chwaraeodd rhan bwysig yn hanes Rhufain.",NA,NA
"75","Enw ei fam oedd Angharad Jones a Saesneg oedd ei hiaith hi.","mam",NA,NA,"Enw ei mam oedd Angharad Jones a Saesneg oedd ei hiaith hi.",NA,NA
"94","Mae'n offeryn cerdd hynafol y cyfeirir ato yn y Beibl, mewn hen lawysgrifau Cymraeg canoloesol a ffynonellau cynnar eraill, a cheir tystiolaeth archaeolegol sy'n dangos fod telynau i'w cael ym Mesopotamia yng nghyfnod gwareiddiad Sumer, rai milflynyddau Cyn Crist.","bod","mod",NA,"Mae'n offeryn cerdd hynafol y cyfeirir ato yn y Beibl, mewn hen lawysgrifau Cymraeg canoloesol a ffynonellau cynnar eraill, a cheir tystiolaeth archaeolegol sy'n dangos bod telynau i'w cael ym Mesopotamia yng nghyfnod gwareiddiad Sumer, rai milflynyddau Cyn Crist.","Mae'n offeryn cerdd hynafol y cyfeirir ato yn y Beibl, mewn hen lawysgrifau Cymraeg canoloesol a ffynonellau cynnar eraill, a cheir tystiolaeth archaeolegol sy'n dangos mod telynau i'w cael ym Mesopotamia yng nghyfnod gwareiddiad Sumer, rai milflynyddau Cyn Crist.",NA
"130","Hyd yn oed os yr ydych yn dod i Fangor yn astudio gradd sengl, neu radd cyd-anrhydedd, y mae amrywiaeth o fodiwlau i ddewis rhyngddyn nhw.","gradd","ngradd",NA,"Hyd yn oed os yr ydych yn dod i Fangor yn astudio gradd sengl, neu gradd cyd-anrhydedd, y mae amrywiaeth o fodiwlau i ddewis rhyngddyn nhw.","Hyd yn oed os yr ydych yn dod i Fangor yn astudio gradd sengl, neu ngradd cyd-anrhydedd, y mae amrywiaeth o fodiwlau i ddewis rhyngddyn nhw.",NA
"148","Caiff Morgan ei adnabod am ambell i sylw dadleuol, sydd wedi arwain yn anochel at feirniadaeth gan ei wrthwynebwyr.","gwrthwynebwyr","ngwrthwynebwyr",NA,"Caiff Morgan ei adnabod am ambell i sylw dadleuol, sydd wedi arwain yn anochel at feirniadaeth gan ei gwrthwynebwyr.","Caiff Morgan ei adnabod am ambell i sylw dadleuol, sydd wedi arwain yn anochel at feirniadaeth gan ei ngwrthwynebwyr.",NA
"179","Dros y blynyddoedd dilynol, gweddnewidiwyd y neuadd llafn-rolio, y pwll nofio a'r neuadd chwaraeon, a daeth staff a oedd yn arbenigo mewn gweithgareddau awyr-agored fel dringo, cerdded afon, rafftio dŵr gwyn i Lan-llyn.","Glan-llyn","Nglan-llyn",NA,"Dros y blynyddoedd dilynol, gweddnewidiwyd y neuadd llafn-rolio, y pwll nofio a'r neuadd chwaraeon, a daeth staff a oedd yn arbenigo mewn gweithgareddau awyr-agored fel dringo, cerdded afon, rafftio dŵr gwyn i Glan-llyn.","Dros y blynyddoedd dilynol, gweddnewidiwyd y neuadd llafn-rolio, y pwll nofio a'r neuadd chwaraeon, a daeth staff a oedd yn arbenigo mewn gweithgareddau awyr-agored fel dringo, cerdded afon, rafftio dŵr gwyn i Nglan-llyn.",NA
"235","Mae ganddo fo wallt cyrliog.","gwallt","ngwallt",NA,"Mae ganddo fo gwallt cyrliog.","Mae ganddo fo ngwallt cyrliog.",NA
"388","Gallwch ddarllen y daflen ar lein neu ei phrintio, ac mae'n iawn printio digon o gopïau i'r holl ddosbarth.","phrintio","brintio","mhrintio","Gallwch ddarllen y daflen ar lein neu ei phrintio, ac mae'n iawn phrintio digon o gopïau i'r holl ddosbarth.","Gallwch ddarllen y daflen ar lein neu ei phrintio, ac mae'n iawn brintio digon o gopïau i'r holl ddosbarth.","Gallwch ddarllen y daflen ar lein neu ei phrintio, ac mae'n iawn mhrintio digon o gopïau i'r holl ddosbarth."
"428","Un o Faenclochog, Sir Benfro yw Rhinedd ac fe'i haddysgwyd yn Ysgol y Preseli, Crymych cyn graddio mewn Dyniaethau o Goleg y Drindod, Caerfyrddin, lle y bu wedyn yn Gofrestrydd y Coleg.","Maenclochog",NA,NA,"Un o Maenclochog, Sir Benfro yw Rhinedd ac fe'i haddysgwyd yn Ysgol y Preseli, Crymych cyn graddio mewn Dyniaethau o Goleg y Drindod, Caerfyrddin, lle y bu wedyn yn Gofrestrydd y Coleg.",NA,NA
"455","Fe welwch chi goeden fach hyfryd yn tyfu yng nghanol y llannerch yna.","gwelwch","ngwelwch",NA,"Fe gwelwch chi goeden fach hyfryd yn tyfu yng nghanol y llannerch yna.","Fe ngwelwch chi goeden fach hyfryd yn tyfu yng nghanol y llannerch yna.",NA
"496","Yn ôl rhagor o ddogfennau a ryddhawyd drwy geisiadau rhyddid gwybodaeth, ym mis Awst eleni anfonodd y Comisiynydd lythyr at Weinidog y Gymraeg yn brolio ei fod yn cynnal llai o ymchwiliadau i gwynion gan ddweud ei fod ""ddiolchgar"" i'r Gweinidog am ei ""harweiniad ar y mater"".","Gweinidog","Ngweinidog",NA,"Yn ôl rhagor o ddogfennau a ryddhawyd drwy geisiadau rhyddid gwybodaeth, ym mis Awst eleni anfonodd y Comisiynydd lythyr at Gweinidog y Gymraeg yn brolio ei fod yn cynnal llai o ymchwiliadau i gwynion gan ddweud ei fod ""ddiolchgar"" i'r Gweinidog am ei ""harweiniad ar y mater"".","Yn ôl rhagor o ddogfennau a ryddhawyd drwy geisiadau rhyddid gwybodaeth, ym mis Awst eleni anfonodd y Comisiynydd lythyr at Ngweinidog y Gymraeg yn brolio ei fod yn cynnal llai o ymchwiliadau i gwynion gan ddweud ei fod ""ddiolchgar"" i'r Gweinidog am ei ""harweiniad ar y mater"".",NA
"502","Ga' i ofyn rywbeth wrthot ti?","rhywbeth",NA,NA,"Ga' i ofyn rhywbeth wrthot ti?",NA,NA
"564","Dydw i ddim hyd yn oed yn disgwyl sgwrs Gymraeg.","Cymraeg","Nghymraeg","Chymraeg","Dydw i ddim hyd yn oed yn disgwyl sgwrs Cymraeg.","Dydw i ddim hyd yn oed yn disgwyl sgwrs Nghymraeg.","Dydw i ddim hyd yn oed yn disgwyl sgwrs Chymraeg."
"575","Paratowyd rhannau helaeth o'r canlynol gan grwp o naturiaethwyr Cymdeithas Edward Llwyd yn nechrau'r 1990au dan ochr rhagflaenydd Prosiect Llên Natur ar y pryd, sef Llên y Llysiau.","dechrau","ddechrau",NA,"Paratowyd rhannau helaeth o'r canlynol gan grwp o naturiaethwyr Cymdeithas Edward Llwyd yn dechrau'r 1990au dan ochr rhagflaenydd Prosiect Llên Natur ar y pryd, sef Llên y Llysiau.","Paratowyd rhannau helaeth o'r canlynol gan grwp o naturiaethwyr Cymdeithas Edward Llwyd yn ddechrau'r 1990au dan ochr rhagflaenydd Prosiect Llên Natur ar y pryd, sef Llên y Llysiau.",NA
"628","Tri pheth doeddet ti (efallai) ddim yn gwybod am astudio'r Gymraeg.","peth","beth","mheth","Tri peth doeddet ti (efallai) ddim yn gwybod am astudio'r Gymraeg.","Tri beth doeddet ti (efallai) ddim yn gwybod am astudio'r Gymraeg.","Tri mheth doeddet ti (efallai) ddim yn gwybod am astudio'r Gymraeg."
"653","Yn dilyn y gynhadledd hon, sefydlwyd Plaid Weriniaethol Cymru.","Gweriniaethol","Ngweriniaethol",NA,"Yn dilyn y gynhadledd hon, sefydlwyd Plaid Gweriniaethol Cymru.","Yn dilyn y gynhadledd hon, sefydlwyd Plaid Ngweriniaethol Cymru.",NA
"671","Yr ydym wedi cael dadl ganolbwyntiol ar fferyllfeydd yng Nghymru, ac mae'n flin gennyf eich bod wedi dod â chwestiwn mor ddadleuol ymlaen yn awr mewn ymgais i boliticeiddio'r mater.","politiceiddio","mholiticeiddio","pholiticeiddio","Yr ydym wedi cael dadl ganolbwyntiol ar fferyllfeydd yng Nghymru, ac mae'n flin gennyf eich bod wedi dod â chwestiwn mor ddadleuol ymlaen yn awr mewn ymgais i politiceiddio'r mater.","Yr ydym wedi cael dadl ganolbwyntiol ar fferyllfeydd yng Nghymru, ac mae'n flin gennyf eich bod wedi dod â chwestiwn mor ddadleuol ymlaen yn awr mewn ymgais i mholiticeiddio'r mater.","Yr ydym wedi cael dadl ganolbwyntiol ar fferyllfeydd yng Nghymru, ac mae'n flin gennyf eich bod wedi dod â chwestiwn mor ddadleuol ymlaen yn awr mewn ymgais i pholiticeiddio'r mater."
"728","Yn y gaeaf neu'r gwanwyn mae'r blodau'n ymddangos a gall eu lliwiau nhw amrywio: gwyn, pinc, porffor neu las.","glas","nglas",NA,"Yn y gaeaf neu'r gwanwyn mae'r blodau'n ymddangos a gall eu lliwiau nhw amrywio: gwyn, pinc, porffor neu glas.","Yn y gaeaf neu'r gwanwyn mae'r blodau'n ymddangos a gall eu lliwiau nhw amrywio: gwyn, pinc, porffor neu nglas.",NA
"730","Daw hyn yn dilyn cyhoeddi ystadegau'r cyfrifiad a oedd yn dangos fod canran siaradwyr Cymraeg wedi gostwng ers 2001, gan amlygu fod y degawd nesaf yn gyfnod allweddol i ddyfodol yr iaith.","bod","mod",NA,"Daw hyn yn dilyn cyhoeddi ystadegau'r cyfrifiad a oedd yn dangos fod canran siaradwyr Cymraeg wedi gostwng ers 2001, gan amlygu bod y degawd nesaf yn gyfnod allweddol i ddyfodol yr iaith.","Daw hyn yn dilyn cyhoeddi ystadegau'r cyfrifiad a oedd yn dangos fod canran siaradwyr Cymraeg wedi gostwng ers 2001, gan amlygu mod y degawd nesaf yn gyfnod allweddol i ddyfodol yr iaith.",NA
